pair_name,difference_vector,first_caption,second_caption
20_I.jpg,[0 -1 0 0 0 0 0],Objectively speaking <COMMA> the eyebrows shown are so distinct .,Objectively speaking <COMMA> the two subjects possess distinct eyebrows .
21_I.jpg,[0 0 -1 -1 0 -2 0],There are differences with regards to spots .,Skin spots and skin color differ immensely here .
22_I.jpg,[5 3 -1 1 0 -3 1],Objectively speaking <COMMA> the irises <COMMA> eyebrows and eyelids are so different .,These subjects definitely do not share iris colors .
23_I.jpg,[-1 0 -1 0 2 0 0],Objectively speaking <COMMA> the skins have different textures .,It would appear that these subjects do not share skin textures .
24_I.jpg,[-3 2 0 -1 0 -3 -1],Undoubtedly <COMMA> the iris colors and eyebrow shapes are not the same .,Objectively speaking <COMMA> the eyebrows seem totally different here .
25_I.jpg,[-1 1 0 1 0 0 0],There seem to be differences in skin colors .,These skins do not have the same color .
26_I.jpg,[1 -1 0 -1 -2 0 0],Objectively speaking <COMMA> the skin textures seem totally different .,These subjects do not share skin textures .
27_I.jpg,[0 0 -1 0 0 0 0],Objectively speaking <COMMA> the eyebrow shapes are different here .,Here <COMMA> the eyebrows have distinct shapes .
28_I.jpg,[-3 1 0 -1 0 3 -1],Objectively speaking <COMMA> the iris colors seem totally disparate .,Objectively speaking <COMMA> the two irises possess distinct colors .
29_I.jpg,[0 0 -1 -1 -2 0 0],In this image <COMMA> the skin textures do not match .,Objectively speaking <COMMA> the skins have definitely distinct textures .
30_I.jpg,[-3 0 1 -1 0 -3 0],There are differences in spots and iris colors .,Here <COMMA> the irises and skins do not match .
31_I.jpg,[3 1 3 0 0 1 -1],These subjects have different iris colors .,Objectively speaking <COMMA> the two eyebrow shapes do not match .
32_I.jpg,[6 -3 0 1 0 0 0],Objectively speaking <COMMA> the iris colors are so so different .,It would appear that both the eyebrows and irises differ .
33_I.jpg,[0 2 0 0 2 3 1],Objectively speaking <COMMA> the skins have different spots .,There total differences in skin textures and spots .
34_I.jpg,[-3 -3 1 0 0 3 0],Objectively speaking <COMMA> the irises have nothing to do with each other .,These eyebrows are completely unrelated .
35_I.jpg,[-4 -2 0 0 0 -2 0],Objectively speaking <COMMA> the two irises have nothing to do with each other .,These eyebrows and irises are unrelated .
36_I.jpg,[-2 0 1 1 -2 -1 0],Objectively speaking <COMMA> the skins seem totally unrelated .,Both the skins and eyebrows have nothing in common .
37_I.jpg,[5 0 0 0 0 1 0],Objectively speaking <COMMA> the iris colors are just distinct .,These subjects differ in the irises .
38_I.jpg,[2 0 0 0 2 3 0],Objectively speaking <COMMA> the two subjects here have distinct spots .,Objectively speaking <COMMA> the skins and irises are visually distinct .
39_I.jpg,[2 0 -1 -1 0 -3 0],Objectively speaking <COMMA> the two spots and iris colors seem totally distinct .,In this pair <COMMA> the subjects do not possess the same iris colors .
40_I.jpg,[-3 0 3 -1 0 0 -1],Objectively speaking <COMMA> the iris colors here have nothing to do with each other .,Objectively speaking <COMMA> the eyelids differ in terms of shape .
41_I.jpg,[-2 -1 -1 -1 0 0 1],It would appear that these eyelids have nothing to do with each other .,Objectively speaking <COMMA> the eyelids and irises differ immensely .
42_I.jpg,[-3 0 3 1 0 -2 -1],In this pair <COMMA> the irises and skins are positively different .,There are differences in these skins and irises .
43_I.jpg,[3 0 -3 1 0 2 1],Objectively speaking <COMMA> the iris colors have nothing to do with each other .,In this pair <COMMA> the irises are so different .
44_I.jpg,[-1 2 -2 0 0 3 0],Objectively speaking <COMMA> the spots and eyebrows seem totally different .,Both the eyebrows and spots show differences .
45_I.jpg,[0 2 0 0 -2 -2 0],Objectively speaking <COMMA> the skins show clear differences .,In this pair <COMMA> the subjects have different skins .
46_I.jpg,[-5 -1 0 0 0 -3 0],Objectively speaking <COMMA> the irises just do not match .,It would appear that the irises are different .
47_I.jpg,[-1 0 -3 -1 0 2 -1],Both the eyebrows and eyelids differ .,In this pair <COMMA> the subjects do not match in the eyebrows .
48_I.jpg,[0 -3 3 1 0 0 0],Objectively speaking <COMMA> the eyebrows are obviously unrelated .,In this example <COMMA> the eyebrows do not match .
49_I.jpg,[0 0 -1 0 -2 0 1],Objectively speaking <COMMA> the skin textures and eyebrow shapes fail to match .,Objectively speaking <COMMA> the subjects here do not match in terms of skin textures .
50_I.jpg,[-5 -2 1 0 2 0 0],Objectively speaking <COMMA> the iris colors fail to match .,Here <COMMA> the irises just do not match .
51_I.jpg,[-3 -1 1 0 0 3 1],Objectively speaking <COMMA> the iris colors and eyebrow distributions seem totally unrelated .,In this pair <COMMA> the skins and eyebrows are unrelated .
52_I.jpg,[0 0 1 -1 0 -2 0],Objectively speaking <COMMA> the skins spots appear to be distinct here .,In this pair <COMMA> the subjects do not match in spots .
53_I.jpg,[3 1 -1 1 0 2 0],Objectively speaking <COMMA> the iris colors and spots show differences .,There are differences in the eyebrows .
54_I.jpg,[-1 -1 1 0 0 0 -1],Objectively speaking <COMMA> the eyelids just fail to match .,In this pair <COMMA> the subjects are unrelated in terms of eyebrows .
55_I.jpg,[-5 1 1 0 0 1 -1],Objectively speaking <COMMA> the eyebrows and irises show differences .,As shown <COMMA> these subjects have distinct iris colors .
56_I.jpg,[2 0 -1 -1 3 3 0],In this pair <COMMA> the irises and skin fail to match completely .,Undoubtedly <COMMA> the two subjects are different in the skins .
57_I.jpg,[1 -1 1 2 2 3 0],In this pair <COMMA> the skins have nothing to do with each other .,Undoubtedly <COMMA> the skins and eyebrows seem totally unrelated .
58_I.jpg,[0 1 3 0 0 1 0],Undoubtedly <COMMA> the eyebrow shapes fail to match .,There are dissimilarities in these eyebrows .
59_I.jpg,[-4 0 -3 0 0 2 0],Undoubtedly <COMMA> the iris colors seem totally unrelated .,In this pair <COMMA> the eyebrows and irises have nothing to do with each other .
60_I.jpg,[0 0 -1 1 3 -3 0],Undoubtedly <COMMA> the eyebrows shown have nothing in common .,In this pair <COMMA> the skins completely fail to match .
61_I.jpg,[0 -1 1 0 0 2 -1],Undoubtedly <COMMA> the eyelids seem totally different .,There are enormous differences in these eyelids .
62_I.jpg,[-4 0 -3 0 0 -2 -1],Undoubtedly <COMMA> the irises shown have different colors .,In this pair <COMMA> the eyelids and irises seem totally disparate .
63_I.jpg,[-3 -1 0 1 0 1 1],Undoubtedly <COMMA> the irises and eyelids have nothing in common .,Undoubtedly <COMMA> the two irises fail to match .
64_I.jpg,[-2 1 0 0 -3 0 -1],In this pair <COMMA> the skins and irises are nothing like each other .,In this pair <COMMA> the subjects have different iris colors .
65_I.jpg,[0 -2 -3 1 2 0 1],Undoubtedly <COMMA> the eyelids shapes shown seem totally unrelated .,Undoubtedly <COMMA> the eyebrows here are so different .
66_I.jpg,[2 -2 -3 1 3 1 1],Undoubtedly <COMMA> the eyelids shown seem totally different .,In this pair <COMMA> the subjects have different skins <COMMA> eyebrows and irises .
67_I.jpg,[-3 0 -3 0 0 -3 1],Undoubtedly <COMMA> the eyelids shown are just different .,Undoubtedly <COMMA> the two subjects have different eyelids and irises .
68_I.jpg,[6 2 0 1 2 1 1],Undoubtedly <COMMA> the irises seem totally unrelated .,In this pair <COMMA> the eyelids have nothing to do with each other .
69_I.jpg,[3 0 0 -1 0 -3 0],Undoubtedly <COMMA> the irises here show obvious differences .,Undoubtedly <COMMA> the spots are so distinct .
70_I.jpg,[0 1 0 -1 0 0 1],In this pair <COMMA> the eyelids have totally distinct shapes .,Undoubtedly <COMMA> the eyebrows are not equal .
71_I.jpg,[0 3 0 0 -3 -3 -1],In this pair <COMMA> the subjects do not share the same eyelid shapes .,Here <COMMA> the skins are completely different .
72_I.jpg,[-3 1 -2 0 0 0 1],Undoubtedly <COMMA> the iris colors and eyebrow shapes show obvious differences .,Obviously <COMMA> the eyelids show differences .
73_I.jpg,[2 1 -1 0 0 3 0],Undoubtedly <COMMA> the spots and iris colors are not equal .,In this pair <COMMA> the subjects differ in the irises .
74_I.jpg,[-6 -1 0 3 -2 3 -1],In this pair <COMMA> the irises just fail to match .,Undoubtedly <COMMA> the skins have nothing to do with each other .
75_I.jpg,[0 0 -1 1 0 0 0],Undoubtedly <COMMA> the skin colors are definitely different .,In this pair <COMMA> the subjects have totally disparate skin colors .
76_I.jpg,[4 0 2 0 -2 3 0],Undoubtedly <COMMA> the irises here show obvious differences .,In this pair <COMMA> the subjects have totally unrelated irises .
77_I.jpg,[6 1 1 0 0 3 0],Undoubtedly <COMMA> the iris colors shown are so different .,Undoubtedly <COMMA> the eyebrows and skins show differences .
78_I.jpg,[0 1 -1 0 0 3 0],In this pair <COMMA> the subjects differ immensely in terms of spots .,Undoubtedly <COMMA> the spots shown have nothing in common .
79_I.jpg,[1 1 -1 0 -2 0 0],Undoubtedly <COMMA> the skins and eyebrows show big differences .,In this pair <COMMA> the eyebrows are different .
80_I.jpg,[4 0 0 -1 0 1 -1],Undoubtedly <COMMA> the iris colors and skin colors fail to match .,In this pair <COMMA> the subjects have dissimilar irises .
81_I.jpg,[3 0 0 0 0 -2 0],Undoubtedly <COMMA> the irises shown are different .,In this pair <COMMA> the subjects have distinct irises .
82_I.jpg,[-3 -1 3 0 0 0 1],Undoubtedly <COMMA> the eyebrows and irises are distinct here .,In this pair <COMMA> the subjects show clear differences in the eyebrows .
83_I.jpg,[-6 2 0 -1 0 0 0],In this pair <COMMA> the iris colors show crucial differences .,There are crucial differences between these irises .
84_I.jpg,[2 1 -2 1 0 2 1],Undoubtedly <COMMA> the two irises do not match .,In this pair <COMMA> the eyelids completely fail to match .
85_I.jpg,[-4 0 -2 0 0 3 1],In this pair <COMMA> the eyebrows and irises are different .,It would appear that the eyebrows and irises show differences .
86_I.jpg,[-2 3 0 -1 0 0 -1],Undoubtedly <COMMA> the irises and and eyebrows do not match here .,Undoubtedly <COMMA> the eyelids have totally disparate shapes .
87_I.jpg,[0 0 3 -1 0 1 1],In this pair <COMMA> the eyebrows and eyelids just do not match .,Undoubtedly <COMMA> the eyebrows shown seem totally different .
88_I.jpg,[2 1 0 0 2 1 0],In this pair <COMMA> the skins and irises do not match .,Undoubtedly <COMMA> the skins here have clear disparities .
89_I.jpg,[-1 -1 -2 1 0 0 0],Undoubtedly <COMMA> the eyebrows and iris colors have visual differences .,It would appear that there are visual dissimilarities between these subjects .
90_I.jpg,[-3 2 -3 0 0 0 1],Undoubtedly <COMMA> the subjects shown have different eyelids .,There are total differences in terms of eyelids .
91_I.jpg,[0 0 1 1 2 3 1],Undoubtedly <COMMA> the eyebrows shown are unrelated .,In this pair <COMMA> the skins are nothing in common .
92_I.jpg,[4 0 0 -1 -2 2 0],Undoubtedly <COMMA> the irises shown possess distinct colors .,Undoubtedly <COMMA> the skin textures shown are visually distinct .
93_I.jpg,[0 0 0 0 2 0 -1],In this pair <COMMA> the skin textures possess clear dissimilarities .,Undoubtedly <COMMA> the eyelids show differences .
94_I.jpg,[0 -1 -1 0 0 0 1],In this pair <COMMA> the eyelids are dissimilar .,Undoubtedly <COMMA> the eyebrows and eyelids do not match .
95_I.jpg,[5 0 0 1 0 3 -1],In this pair <COMMA> the irises are unrelated .,Undoubtedly <COMMA> the irises and skins shown fail to match .
96_I.jpg,[0 0 -3 -1 0 2 0],In this pair <COMMA> the eyebrows and skins are unrelated .,Undoubtedly <COMMA> the eyebrows shown have nothing in common .
97_I.jpg,[0 1 1 -2 2 -2 -1],Undoubtedly <COMMA> the skins shown show total differences .,In this pair <COMMA> the skins have nothing in common .
98_I.jpg,[6 0 1 0 0 0 0],Undoubtedly <COMMA> the irises differ greatly .,There are total differences in the iris colors .
99_I.jpg,[0 0 0 0 0 -3 0],Undoubtedly <COMMA> the spots appear to be different here .,In this pair <COMMA> the spots are different .
100_I.jpg,[1 2 1 1 -1 -3 0],Undoubtedly <COMMA> the skins definitely do not match .,There are many differences in these skins .
101_I.jpg,[-5 -1 0 -1 0 -3 0],Undoubtedly <COMMA> the irises shown are definitely distinct .,In this pair <COMMA> the eyebrows have nothing in common .
102_I.jpg,[0 0 3 -1 0 0 1],Undoubtedly <COMMA> the eyebrow shapes shown definitely do not match .,In this pair <COMMA> the subjects have totally distinct eyebrows .
103_I.jpg,[-6 2 -1 0 -2 2 -1],Undoubtedly <COMMA> the iris colors fail to match completely .,In this pair <COMMA> the subjects do not share iris colors .
104_I.jpg,[1 3 0 0 0 -3 0],Undoubtedly <COMMA> the eyebrows and skins have visual differences .,In this pair <COMMA> the skins and irises have visual dissimilarities .
105_I.jpg,[1 0 0 0 -2 -1 0],Undoubtedly <COMMA> the skins shown do not match here .,Here <COMMA> the subjects have different skins .
106_I.jpg,[-1 -1 -2 1 2 2 0],Undoubtedly <COMMA> the skins and eyebrows just show differences .,Here <COMMA> the subjects fail to match in the skins .
107_I.jpg,[2 1 0 -1 2 1 0],In this pair <COMMA> the eyebrows and skins have many differences .,Undoubtedly <COMMA> the eyebrows shown here completely fail to match .
108_I.jpg,[0 0 0 1 0 -3 1],In this pair <COMMA> the spots have nothing in common .,Undoubtedly <COMMA> the spots show many differences .
109_I.jpg,[-1 -1 -1 -1 0 0 -1],Undoubtedly <COMMA> the eyelids have completely unrelated shapes .,In this pair <COMMA> the eyelids just fail to match .
110_I.jpg,[-2 1 1 -1 0 3 1],In this pair <COMMA> the spots and iris colors just do not match .,In this pair <COMMA> the eyebrows and irises fail to match .
111_I.jpg,[0 0 -1 1 0 -2 0],In this pair <COMMA> the subjects have different skin colors .,Undoubtedly <COMMA> the skins shown here have visually distinct colors .
112_I.jpg,[2 -2 2 0 1 -3 1],Undoubtedly <COMMA> the spots shown do not match .,In this pair <COMMA> the subjects have definitely distinct skin textures .
113_I.jpg,[0 0 2 0 0 0 0],Undoubtedly <COMMA> the eyebrow shapes just do not match .,In this pair <COMMA> the eyebrow shapes have differences .
114_I.jpg,[0 1 -1 1 -3 3 -1],Undoubtedly <COMMA> the skins and eyebrows have many differences .,In this pair <COMMA> the skins do not share the same textures and spots .
115_I.jpg,[-3 -1 2 -1 0 -1 0],Undoubtedly <COMMA> the two subjects here differ in iris colors .,In this pair <COMMA> the subjects have distinct iris colors .
116_I.jpg,[-1 0 0 0 0 2 0],Undoubtedly <COMMA> the spots are different here .,There are visual differences in spots .
117_I.jpg,[-6 -1 0 0 0 -2 0],Undoubtedly <COMMA> the iris colors simply do not match .,Simply <COMMA> these irises have nothing in common .
118_I.jpg,[0 -1 0 0 0 3 -1],Undoubtedly <COMMA> the spots shown have total differences .,In this pair <COMMA> the skins do not match in terms of spots .
119_I.jpg,[0 2 3 1 0 -1 0],There are big differences in eyebrow shapes .,Undoubtedly <COMMA> the two subjects shown have differences in the eyebrows .
120_I.jpg,[0 2 -3 0 -2 1 1],In this pair <COMMA> the eyebrows and eyelids simply do not match .,Undoubtedly <COMMA> the two subjects have different eyebrows .
121_I.jpg,[-1 2 1 0 -1 -3 -1],In this pair <COMMA> the eyebrows and skins have nothing in common .,Undoubtedly <COMMA> the two subjects differ greatly <COMMA> in the skins .
122_I.jpg,[3 -1 0 0 0 -2 0],In this pair <COMMA> the irises appear to be different .,Undoubtedly <COMMA> the irises shown are simply different .
123_I.jpg,[-1 0 0 0 0 -3 0],In this pair <COMMA> the spots are definitely different .,Undoubtedly <COMMA> the subjects shown differ in their spots .
124_I.jpg,[1 2 -1 0 0 1 1],In this pair <COMMA> the eyebrows are visually disparate .,There are many differences in the skins .
125_I.jpg,[-1 0 0 0 -2 2 0],In this pair <COMMA> the skins and eyelid shapes differ greatly .,Undoubtedly <COMMA> the skins just do not match .
126_I.jpg,[-5 0 -1 -1 0 0 0],Undoubtedly <COMMA> the iris colors are simply different .,In this pair <COMMA> the irises have nothing in common .
127_I.jpg,[0 -3 0 1 2 0 0],There are clear differences in these eyebrows .,Undoubtedly <COMMA> the two subjects do not share the same eyebrow distributions .
128_I.jpg,[-3 2 -1 0 -3 -3 0],In this pair <COMMA> the skins and irises are definitely different .,Undoubtedly <COMMA> the skin textures just do not match .
129_I.jpg,[3 0 -1 1 0 0 1],Undoubtedly <COMMA> the iris colors shown are visually different .,In this pair <COMMA> the subjects differ in the iris colors .
130_I.jpg,[0 -1 3 -1 0 -1 1],Undoubtedly <COMMA> the eyebrows shown simply have too many differences .,Here <COMMA> there are many differences in the eyebrow shapes .
131_I.jpg,[6 0 0 1 0 0 0],Undoubtedly <COMMA> the two irises are completely distinct .,These subjects do not share the same iris colors .
132_I.jpg,[0 -2 1 0 -2 0 0],In this pair <COMMA> the skin textures are nothing like each other .,Undoubtedly <COMMA> the two subjects do not share the same eyebrow distributions .
133_I.jpg,[-1 1 1 1 0 1 0],In this pair <COMMA> the eyebrows look definitely different .,Undoubtedly <COMMA> the eyebrows do not match .
134_I.jpg,[-3 0 -1 -1 0 2 0],Undoubtedly <COMMA> the irises have distinct colors .,In this pair <COMMA> the subjects do not share the same iris colors .
135_I.jpg,[-2 -1 -3 -1 0 0 -1],Undoubtedly <COMMA> the iris colors do not match here .,In this pair <COMMA> the eyebrows and iris are visually different .
136_I.jpg,[0 0 0 -1 0 0 1],Undoubtedly <COMMA> the irises differ greatly .,In this pair <COMMA> the eyelids are definitely distinct .
137_I.jpg,[6 1 3 -2 2 -3 0],Undoubtedly <COMMA> the two irises definitely differ .,In this pair <COMMA> the subjects have definitely different irises and skins .
138_I.jpg,[0 3 1 0 -2 2 -1],Undoubtedly <COMMA> the eyebrows show obvious differences .,In this pair <COMMA> the subjects differ in the eyelids .
139_I.jpg,[5 0 -1 0 0 0 0],There is a giant difference in the iris colors .,In this pair <COMMA> the irises have nothing in common .
140_I.jpg,[0 2 -2 0 -2 -3 0],Undoubtedly <COMMA> the two eyebrows show big differences .,In this pair <COMMA> the subjects have totally different eyebrows .
141_I.jpg,[0 3 0 0 -2 0 0],Undoubtedly <COMMA> the two eyebrows have different distributions .,In this pair <COMMA> the subjects have totally disparate eyebrows and irises .
142_I.jpg,[6 0 -1 1 0 0 1],Undoubtedly <COMMA> the two irises just do not match .,In this pair <COMMA> the irises have nothing in common .
143_I.jpg,[0 1 1 0 -2 -1 -1],Undoubtedly <COMMA> the two skins differ visually .,In this pair <COMMA> the subjects do not share the same skins .
144_I.jpg,[6 1 -1 -1 2 -3 0],Undoubtedly <COMMA> the iris shown seem totally different .,In this pair <COMMA> the subjects show distinct irises .
145_I.jpg,[0 0 1 0 0 3 -1],Undoubtedly <COMMA> the spots seem totally distinct .,In this pair <COMMA> the spots show obvious differences .
146_I.jpg,[3 0 0 1 0 -2 0],Undoubtedly <COMMA> the two irises are completely distinct .,In this pair <COMMA> the subjects do not share the same irises .
147_I.jpg,[0 2 -2 -1 0 -3 0],In this pair <COMMA> the eyebrows have nothing in common .,Undoubtedly <COMMA> the two subjects differ greatly on the eyebrows .
148_I.jpg,[0 3 -2 0 -2 -3 0],In this pair <COMMA> the subjects have totally different eyebrows .,Undoubtedly <COMMA> the skins and eyebrows are obviously different .
149_I.jpg,[5 1 0 -1 0 3 0],In this pair <COMMA> the irises are so different .,Undoubtedly <COMMA> the two irises seem totally dissimilar .
150_I.jpg,[1 1 0 0 0 -1 0],Undoubtedly <COMMA> the irises are different .,Both the irises and spots are distinct .
151_I.jpg,[1 3 2 0 -3 0 -1],Undoubtedly <COMMA> the skins and eyebrows do not match .,Here <COMMA> there are clear differences in eyebrows .
152_I.jpg,[0 -1 0 0 2 1 -1],Undoubtedly <COMMA> the eyebrows are so distinct .,In this pair <COMMA> the subjects differ in the eyebrows .
153_I.jpg,[-1 0 0 0 2 0 -1],Undoubtedly <COMMA> the skin textures and eyelid shapes are definitely distinct .,It would appear that these subjects are distinct in the eyelids .
154_I.jpg,[0 0 0 1 2 3 1],Undoubtedly <COMMA> the skins seem totally different .,In this pair <COMMA> the skins do not match .
155_I.jpg,[6 0 0 0 0 -2 0],Undoubtedly <COMMA> the irises are so different .,Undoubtedly <COMMA> the subjects shown have totally different irises .
156_I.jpg,[0 1 1 0 0 3 0],Undoubtedly <COMMA> the spots shown definitely do not match .,It would appear that the eyebrows show obvious differences .
157_I.jpg,[1 1 1 0 2 1 0],In this pair <COMMA> the subjects have visually disparate irises .,In this pair <COMMA> the eyebrows have nothing in common .
158_I.jpg,[-3 -1 -1 1 0 -2 0],It would appear that the irises shown have clear differences .,In this pair <COMMA> the subjects do not share the same iris colors .
159_I.jpg,[-1 -1 0 0 0 1 0],It would appear that the eyebrows differ greatly .,In this pair <COMMA> the subjects have distinct eyebrows .
160_I.jpg,[2 1 -1 1 -2 0 0],It would appear that the skin textures definitely do not match .,It would appear that the subjects shown do not share the same skin textures .
161_I.jpg,[-2 0 0 -1 -3 0 0],In this pair <COMMA> the subjects do not share the same eyelids .,It would appear that the eyelids shown are definitely distinct .
162_I.jpg,[4 1 1 -1 -2 -3 0],It would appear that the iris colors are so distinct .,In this pair <COMMA> the subjects differ greatly in the irises and skins .
163_I.jpg,[-5 -1 1 0 0 0 1],In this pair <COMMA> the irises have nothing in common .,It would appear that the irises are visually distinct .
164_I.jpg,[0 -1 -1 1 0 0 -1],It would appear that the eyebrows have dissimilarities .,In this pair <COMMA> the subjects differ in the eyebrows .
165_I.jpg,[-1 -1 -1 -1 0 0 0],In this pair <COMMA> the eyebrows look nothing like each other .,It would appear that the subjects shown have distinct skin colors .
166_I.jpg,[-6 -3 -2 -1 0 -3 0],It would appear that the irises shown are just so distinct .,It would appear that the eyebrows and irises just do not match .
167_I.jpg,[0 2 -1 -1 0 -1 0],In this pair <COMMA> the eyebrows look so so distinct .,In this pair <COMMA> the subjects have contrasting eyebrows .
168_I.jpg,[0 0 0 0 2 -3 0],There are major differences in spots .,In this pair <COMMA> the spots differ greatly .
169_I.jpg,[0 1 2 0 2 0 0],It would appear that the eyebrows shown seem totally distinct .,In this pair <COMMA> the subjects definitely do not match in the eyebrows .
170_I.jpg,[5 1 -1 -1 0 1 0],In this pair <COMMA> the irises have contrasting colors .,It would appear that the irises shown are extremely distinct .
171_I.jpg,[5 1 0 0 0 1 1],It would appear that the iris colors are so different .,It would appear that the two subjects do not match in the iris colors .
172_I.jpg,[0 -1 0 0 1 0 0],In this pair <COMMA> the skin textures are different .,It would appear that the skins have visually different textures .
173_I.jpg,[-3 1 0 0 0 0 0],In this pair <COMMA> the irises do not share the same color .,It would appear that the irises shown have nothing in common .
174_I.jpg,[2 -2 2 -1 3 0 1],In this pair <COMMA> the irises <COMMA> eyebrows and skins do not match .,Here <COMMA> the skins and eyebrows look nothing like each other .
175_I.jpg,[0 1 0 0 0 0 0],It would appear that the eyebrows shown just do not match .,There are major differences in the eyebrows .
176_I.jpg,[0 0 0 1 -2 0 0],It would appear that the skins have major disparities .,In this pair <COMMA> the subjects have different skin textures .
177_I.jpg,[5 0 0 1 0 -1 -1],In this pair <COMMA> the iris colors look nothing like each other .,There are so many differences in the irises .
178_I.jpg,[-1 1 0 -1 -2 -2 0],It would appear that the skin colors definitely do not match .,In this pair <COMMA> the skins are so different .
179_I.jpg,[0 1 0 0 0 -3 -1],There are clear differences in the spots .,In this pair <COMMA> the spots definitely do not match .
180_I.jpg,[3 0 1 3 0 -3 0],There is a big difference in skin colors .,In this pair <COMMA> the subjects have contrasting skin colors .
181_I.jpg,[0 0 3 -1 0 3 0],It would appear that the eyebrow shapes look distinct .,In this pair <COMMA> the eyebrows have contrasting shapes .
182_I.jpg,[0 -1 0 -1 0 3 0],In this pair <COMMA> the spots have major differences .,There are clear dissimilarities in spots .
183_I.jpg,[4 2 -1 1 0 2 0],It would appear that the irises have major differences .,Both the eyebrows and irises look distinct .
184_I.jpg,[0 1 0 0 2 -3 0],It would appear that the spots and texture look so so different .,There are big differences in these skins .
185_I.jpg,[6 0 1 0 -2 1 0],It would appear that the irises have contrasting colors .,In this pair <COMMA> the iris colors look so different .
186_I.jpg,[1 0 0 0 0 -3 0],It would appear that the spots are visually disparate .,There are major disparities in the spots .
187_I.jpg,[3 2 -2 -1 0 -3 0],There are major differences in iris colors .,It would appear that the irises <COMMA> eyebrows and skins look nothing like each other .
188_I.jpg,[-2 -1 3 -1 0 -2 -1],Here <COMMA> the subjects definitely differ in eyebrow shapes .,Clearly different iris colors .
189_I.jpg,[0 0 0 -1 0 -1 -1],In this pair <COMMA> the spots definitely do not match .,There are visual differences between these spots .
190_I.jpg,[-4 0 -1 0 0 0 1],It would appear that the iris colors just do not match .,There are differences in the iris colors .
191_I.jpg,[1 0 1 0 0 0 0],In this pair <COMMA> the eyebrow shapes definitely do not match .,There are big differences in eyebrow shapes .
192_I.jpg,[1 0 0 0 2 0 0],In this pair <COMMA> the skin textures just do not match .,It would appear that the skin textures shown are so different .
193_I.jpg,[2 0 3 0 0 1 0],It would appear that the eyebrows and irises look different .,In this pair <COMMA> the irises and eyebrows have nothing in common .
194_I.jpg,[1 0 0 3 -2 0 1],In this pair <COMMA> the skins have major differences .,It would appear that the skin colors shown definitely do not match .
195_I.jpg,[4 2 0 -1 2 -3 0],In this pair <COMMA> the iris colors just do not match .,It would appear that the iris colors and eyebrow shapes just look different .
196_I.jpg,[0 0 -1 0 0 0 0],It would appear that the eyebrow shapes are not equal .,In this pair <COMMA> the eyebrow shapes are different .
197_I.jpg,[0 1 0 1 0 1 0],It would appear that the eyebrow distributions do not match .,In this pair <COMMA> the eyebrows have contrasting distributions .
198_I.jpg,[-1 1 -2 0 -3 -3 0],It would appear that the skins here just do not match .,Here <COMMA> there are clear differences in the skins .
199_I.jpg,[0 0 -1 -1 2 -3 0],It would appear that the spots just do not match .,In this pair <COMMA> the skins and eyebrows have major disparities .
200_I.jpg,[-1 0 0 0 0 0 -1],Here <COMMA> the eyelid shapes do not match .,There are visual differences in the eyelid shapes .
201_I.jpg,[0 0 0 1 3 0 0],In this pair <COMMA> the skin textures differ greatly .,It would appear that the subjects shown have contrasting skin textures .
